CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
19300,AMERICAN NATIONAL BANK,20251231,N,1,5227427,264195,1032388,3795230,4590804,19077,47804,0,4689347,538080,538080,69566,31662,66881,135614,31662,0
19333,REPUBLIC BANK OF CHICAGO,20251231,NM,1,2722839,418271,495488,1667250,2334420,0,5000,0,2364860,357979,357979,19484,25440,5000,141830,25440,0
19349,FIRST MISSOURI BANK OF SEMO,20251231,NM,1,210887,10343,3413,185160,190269,0,0,0,191598,19289,19289,9499,1329,0,11971,1329,0
19351,BANK OF ESTES PARK,20251231,NM,1,157317,7930,40948,96019,140455,0,0,0,141686,15631,15631,5870,1231,0,12420,1231,0
19354,HODGE BANK&TRUST CO,20251231,NM,1,116572,13242,21981,80147,98466,0,0,0,98975,17597,17597,1062,509,0,1202,509,0
19358,ROUND TOP STATE BANK,20251231,NM,1,943297,29282,285697,580797,844084,0,0,0,846645,96652,96652,9893,2561,0,47521,2561,0
19371,RELYANCE BANK,20251231,SM,1,1485190,82241,141815,1144250,1276446,0,0,0,1296419,188771,188771,67975,19973,0,116884,19973,0
19381,PARK STATE BANK&TRUST,20251231,NM,1,161461,2395,11249,106145,144729,0,0,0,145179,16282,16282,937,450,0,41672,450,0
19396,UNISON BANK,20251231,NM,1,599398,45633,103820,414092,500889,5728,40500,0,552066,47332,47332,19468,4949,46228,35853,4949,0
19401,CAPITAL BANK,20251231,NM,1,673384,10764,75460,570717,589649,684,6000,0,604408,68976,68976,5615,8075,6684,16443,8075,0
19416,CTBC BANK CORP USA,20251231,NM,1,5583080,730250,363375,4258807,4765537,0,0,0,4822849,760231,760231,196516,57312,0,230648,57312,0
19420,CITIZENS BANK OF THE SOUTH,20251231,NM,1,362206,31348,36652,279471,309364,0,5000,0,314969,47237,47237,7531,605,5000,14735,605,0
19434,BAC COMMUNITY BANK,20251231,NM,1,786267,28622,250386,475418,670923,0,33883,0,712488,73779,73779,20806,7682,33883,31841,7682,0
19440,FIRST FINANCIAL BANK,20251231,NM,1,244971,22112,71267,127527,237150,0,0,0,237704,7267,7267,17108,554,0,24065,554,0
19448,BNA BANK,20251231,NM,1,853370,32758,235318,534027,697506,0,60006,0,765592,87778,87778,33419,8080,60006,51267,8080,0
19459,UNITED COMMUNITY BANK,20251231,NM,1,4088428,455157,906598,2571302,3437069,120269,99500,0,3685636,402792,402792,87815,28798,219769,155371,28798,0
19482,CONSUMERS NATIONAL BANK,20251231,N,1,1211874,21535,266998,863908,1089119,20157,4875,0,1125564,86310,86310,28974,11315,25032,59433,11413,0
19502,FIRST NB OF TENNESSEE,20251231,N,1,1354670,133161,489918,707265,1189055,0,64,0,1208227,146443,146443,9407,19108,64,24326,19108,0
19506,BANK OF SPRINGFIELD,20251231,NM,1,1904880,189868,99845,1532041,1649405,8691,65359,0,1734945,169935,169935,43930,11490,74050,83126,11490,0
19512,ROYAL BANKS OF MISSOURI,20251231,NM,1,1052433,77294,83927,787567,917577,0,2844,0,928306,124127,124127,53361,7885,2844,103645,7885,0
19525,MT MCKINLEY BANK,20251231,SI,1,640657,28054,291369,272036,530325,0,0,0,537449,103208,103208,27034,7124,0,49198,7124,0
19531,MACHIAS SAVINGS BANK,20251231,SI,1,2714674,254967,212360,2150224,2328099,0,68829,0,2421717,292957,292957,64559,24789,68829,97123,24789,0
19532,SKOWHEGAN SAVINGS BANK,20251231,SI,1,841551,20275,173707,607416,709375,0,4229,0,723732,117819,117819,23882,10128,4229,40153,10128,0
19540,PIONEER BANK,20251231,NM,1,286073,23410,55372,198446,253070,0,2141,0,258381,27692,27692,5588,3170,2141,8845,3170,0
19544,MADISON VALLEY BANK,20251231,NM,1,261975,9108,117854,127902,237601,0,0,0,238751,23224,23224,2129,1150,0,7111,1150,0
19559,TEXASBANK,20251231,NM,1,2389217,282181,87236,1951502,1899372,0,185000,0,2093642,295575,295575,31720,9270,185000,68298,9270,0
19573,LAKESIDE BANK,20251231,NM,1,2893511,282888,185813,2279941,2471074,0,100500,0,2596754,296757,296757,88695,25180,100500,144869,25180,0
19581,BELL BANK,20251231,NM,1,14443599,1004380,211826,12355638,12375717,32486,374973,0,13031006,1412593,1412593,257591,247830,407459,871755,247830,0
19589,NORTHERN STB OF VIRGINIA,20251231,NM,1,101267,8729,16876,71706,90845,0,0,0,91195,10072,10072,1843,350,0,3956,350,0
19590,ALTAMAHA BANK&TRUST CO,20251231,NM,1,333342,9392,60986,250575,298327,0,6000,0,304810,28532,28532,8109,483,6000,12389,483,0
19595,COMMERCIAL BANK,20251231,NM,1,111521,6939,56926,44449,96371,0,4400,0,101223,10298,10298,2507,452,4400,3207,452,0
19600,ACADEMY BANK NATIONAL ASSN,20251231,N,1,3320167,444992,355054,2398118,2775244,0,30000,0,2859730,460437,460437,43406,54486,30000,122003,54486,0
19603,HOMETOWN BANK NATIONAL ASSN,20251231,N,1,997811,39361,244410,686050,904456,0,0,0,907201,90610,90610,15389,2745,0,27990,2745,0
19608,PARK BANK,20251231,NM,1,1571795,60778,156530,1300796,1293941,0,113359,0,1420771,151024,151024,28592,13471,113359,53691,13471,0
19629,INTERNATIONAL BK OF COM,20251231,NM,1,9753348,256446,1787900,6749515,6545019,1118816,0,0,7782121,1971227,1971227,458693,118286,1118816,959487,118286,0
19638,GUARANTY B&T CO OF DELHI LA,20251231,NM,1,467042,118566,5940,331996,402784,0,24789,0,429751,37291,37291,4378,2178,24789,10540,2178,0
19644,FIDELITY BANK,20251231,SM,1,553103,5188,264962,264174,495490,138,10000,0,508020,45083,45083,14150,2392,10138,18779,2392,0
19674,CITIZENS BANK OF WESTON,20251231,NM,1,299215,30828,53913,210937,264849,1663,0,0,268476,30739,30739,2594,1964,1663,3537,1964,0
19679,CITIZENS BANK OF ADA,20251231,NM,1,343126,40722,103224,179208,301029,7400,0,0,312725,30401,30401,7938,4296,7400,19972,4296,0
